transport_mode,origin_port,destination_region,cargo_type,season,carrier_reliability,customs_complexity,lead_time_days,shipment_weight_kg,distance_km,port_congestion_idx,weather_severity,customs_days,documentation_errors,is_delayed,delay_hours,base_cost_nzd,delay_cost_nzd,total_cost_nzd
Sea Freight,Port of Tauranga,Wellington,Refrigerated,Winter,High,Moderate,13.6,222.5,534.0,6.69,1.9,2.7,0,1,23.4,266.96,1764.01,2030.97
Rail,Port of Tauranga,Wellington,Bulk,Summer,High,Simple,16.6,585.9,2376.0,1.18,2.27,1.1,1,0,0.0,1054.65,0.0,1054.65
Road,Port Otago,Auckland,Hazardous,Autumn,Medium,Complex,12.0,349.6,2373.0,1.43,1.67,4.0,0,0,0.0,734.07,0.0,734.07
Air Cargo,Port of Auckland,Christchurch,General Merchandise,Winter,Low,Simple,27.3,193.5,949.0,1.1,2.22,2.0,2,1,44.8,1644.92,2807.09,4452.0
Sea Freight,Port Otago,Wellington,General Merchandise,Autumn,Medium,Moderate,10.7,803.6,207.0,3.3,2.94,3.1,1,1,36.0,964.28,2012.37,2976.66
Sea Freight,Port of Auckland,Dunedin,General Merchandise,Winter,High,Moderate,7.3,735.9,1595.0,2.75,6.7,1.8,0,0,0.0,883.04,0.0,883.04
Sea Freight,Lyttelton Port,Auckland,General Merchandise,Spring,High,Moderate,15.3,1195.7,827.0,3.29,2.64,2.5,0,0,0.0,1434.86,0.0,1434.86
Road,Port Otago,Christchurch,Hazardous,Summer,High,Simple,20.9,1700.7,213.0,4.77,0.72,2.6,0,0,0.0,3571.4,0.0,3571.4
Air Cargo,Port of Auckland,Hamilton,Hazardous,Winter,High,Moderate,13.4,249.2,2235.0,3.44,1.71,2.6,0,0,0.0,2117.82,0.0,2117.82
Road,Port of Tauranga,Hamilton,General Merchandise,Summer,High,Simple,13.9,1260.2,2495.0,2.41,3.17,4.6,0,1,16.0,2646.47,775.21,3421.68
Sea Freight,Port of Auckland,Dunedin,General Merchandise,Autumn,Low,Simple,30.8,416.3,908.0,0.5,2.56,5.9,0,0,0.0,499.58,0.0,499.58
Rail,Lyttelton Port,Hamilton,General Merchandise,Summer,Medium,Complex,21.6,842.8,1875.0,6.15,1.45,3.8,0,0,0.0,1517.08,0.0,1517.08
Road,Port of Tauranga,Tauranga,Pharmaceuticals,Summer,Medium,Complex,17.2,1569.0,211.0,3.25,2.62,0.3,0,0,0.0,3294.85,0.0,3294.85
Sea Freight,Lyttelton Port,Wellington,Refrigerated,Autumn,High,Moderate,15.7,286.8,956.0,5.5,1.77,1.8,0,0,0.0,344.12,0.0,344.12
Sea Freight,Port of Auckland,Christchurch,Automotive,Autumn,High,Simple,7.9,785.0,316.0,1.21,2.83,1.0,0,0,0.0,941.95,0.0,941.95
Sea Freight,Port of Auckland,Auckland,Automotive,Spring,Medium,Moderate,24.9,573.6,186.0,2.43,2.21,0.9,0,1,14.5,688.36,662.8,1351.16
Sea Freight,Port of Auckland,Auckland,Hazardous,Winter,Low,Simple,15.7,1300.7,1493.0,0.85,3.78,0.6,0,1,52.4,1560.86,2460.43,4021.29
Air Cargo,Port of Auckland,Auckland,Bulk,Spring,Medium,Simple,9.7,1005.9,2015.0,2.46,3.87,0.1,0,0,0.0,8549.77,0.0,8549.77
Sea Freight,Port of Tauranga,Auckland,General Merchandise,Winter,Low,Moderate,19.6,1224.5,1160.0,3.9,0.88,3.1,3,1,38.4,1469.35,2848.28,4317.63
Sea Freight,Port Otago,Auckland,Bulk,Summer,Low,Simple,21.9,321.7,1334.0,2.86,1.52,0.6,0,0,0.0,386.01,0.0,386.01
Air Cargo,Lyttelton Port,Auckland,General Merchandise,Autumn,High,Complex,13.8,1024.9,713.0,4.47,3.62,3.2,0,0,0.0,8711.48,0.0,8711.48
Sea Freight,Port of Tauranga,Auckland,Automotive,Autumn,High,Simple,12.8,794.7,1854.0,3.29,0.24,1.5,0,0,0.0,953.68,0.0,953.68
Sea Freight,Wellington Port,Dunedin,General Merchandise,Autumn,Medium,Simple,14.8,538.0,935.0,2.41,1.88,3.5,0,0,0.0,645.66,0.0,645.66
Sea Freight,Lyttelton Port,Auckland,Bulk,Winter,Medium,Moderate,11.9,430.3,215.0,5.07,0.89,1.9,1,1,39.0,516.35,2132.2,2648.56
Air Cargo,Wellington Port,Hamilton,General Merchandise,Winter,High,Moderate,10.7,372.3,455.0,2.94,1.91,0.8,0,0,0.0,3164.51,0.0,3164.51
Road,Port of Tauranga,Auckland,Automotive,Autumn,Medium,Simple,15.4,57.8,365.0,2.08,2.58,1.3,0,1,9.0,121.33,407.67,529.0
Sea Freight,Port of Auckland,Dunedin,Refrigerated,Summer,Medium,Simple,21.5,198.6,1118.0,1.13,1.2,5.5,0,1,25.1,238.37,1891.96,2130.33
Air Cargo,Port of Auckland,Dunedin,Bulk,Summer,Low,Moderate,29.6,98.6,210.0,0.62,3.04,1.6,0,0,0.0,838.37,0.0,838.37
Air Cargo,Lyttelton Port,Christchurch,Refrigerated,Summer,High,Simple,15.7,1559.0,2026.0,1.89,2.76,1.0,3,0,0.0,13251.36,0.0,13251.36
Sea Freight,Port of Auckland,Christchurch,Refrigerated,Summer,High,Simple,27.4,1623.4,2275.0,7.01,3.07,0.3,0,0,0.0,1948.08,0.0,1948.08
Air Cargo,Port of Auckland,Auckland,Bulk,Spring,Medium,Moderate,10.5,1547.6,659.0,4.87,1.01,3.3,0,0,0.0,13155.0,0.0,13155.0
Sea Freight,Port of Tauranga,Tauranga,Pharmaceuticals,Summer,Medium,Simple,21.1,1412.6,1239.0,3.24,2.58,2.8,0,0,0.0,1695.18,0.0,1695.18
Sea Freight,Port of Tauranga,Dunedin,General Merchandise,Winter,Medium,Complex,13.7,250.1,1322.0,5.88,2.72,2.3,1,1,76.6,300.16,3824.39,4124.55
Rail,Lyttelton Port,Dunedin,Automotive,Autumn,Low,Moderate,34.4,591.5,2463.0,1.45,1.55,0.8,0,0,0.0,1064.67,0.0,1064.67
Rail,Port of Auckland,Christchurch,Bulk,Summer,Medium,Complex,12.4,1957.4,211.0,3.46,3.7,2.9,0,0,0.0,3523.35,0.0,3523.35
Road,Port of Tauranga,Wellington,Automotive,Spring,Medium,Simple,17.2,1191.0,1686.0,1.4,2.15,3.7,3,1,8.0,2501.03,1437.06,3938.09
Sea Freight,Lyttelton Port,Dunedin,Refrigerated,Winter,High,Complex,9.0,51.5,897.0,1.38,1.16,0.5,0,0,0.0,61.75,0.0,61.75
Sea Freight,Wellington Port,Auckland,Refrigerated,Summer,Medium,Simple,13.3,542.1,1279.0,5.14,2.94,0.5,0,0,0.0,650.52,0.0,650.52
Air Cargo,Lyttelton Port,Christchurch,Automotive,Spring,Medium,Simple,22.7,58.6,582.0,2.72,0.77,5.9,0,1,1.0,497.95,45.62,543.57
Sea Freight,Wellington Port,Auckland,Refrigerated,Summer,Low,Simple,20.8,313.5,443.0,4.69,0.68,2.5,0,0,0.0,376.25,0.0,376.25
Sea Freight,Lyttelton Port,Tauranga,Hazardous,Summer,Low,Simple,17.2,507.8,647.0,3.25,1.13,0.5,1,1,39.3,609.39,2148.6,2757.98
Air Cargo,Port of Tauranga,Auckland,General Merchandise,Spring,Medium,Simple,21.2,1837.2,225.0,3.88,5.21,0.1,0,0,0.0,15616.1,0.0,15616.1
Sea Freight,Port of Auckland,Auckland,General Merchandise,Winter,Medium,Moderate,15.2,899.9,731.0,3.06,0.18,1.1,0,0,0.0,1079.93,0.0,1079.93
Rail,Lyttelton Port,Christchurch,Bulk,Autumn,High,Simple,28.6,410.1,1741.0,2.46,3.11,1.0,0,1,4.8,738.25,218.27,956.52
Sea Freight,Lyttelton Port,Hamilton,Bulk,Summer,High,Simple,8.8,589.7,1646.0,5.99,2.65,2.8,0,1,58.6,707.64,2688.84,3396.48
Air Cargo,Lyttelton Port,Christchurch,Hazardous,Spring,High,Moderate,17.0,1410.3,1409.0,1.71,0.87,0.2,1,0,0.0,11987.72,0.0,11987.72
Sea Freight,Port of Tauranga,Auckland,General Merchandise,Autumn,High,Simple,9.2,334.9,51.0,4.81,2.09,0.6,1,0,0.0,401.94,0.0,401.94
Air Cargo,Port of Tauranga,Auckland,Refrigerated,Summer,Medium,Moderate,10.9,813.7,358.0,2.37,1.69,5.5,0,0,0.0,6916.3,0.0,6916.3
Air Cargo,Port of Auckland,Hamilton,Refrigerated,Winter,High,Moderate,12.9,293.3,2115.0,2.4,2.8,2.2,0,0,0.0,2493.19,0.0,2493.19
Sea Freight,Port of Tauranga,Tauranga,Refrigerated,Spring,Medium,Complex,13.9,573.1,716.0,1.38,2.84,4.4,1,1,51.6,687.7,4265.39,4953.09
Rail,Port of Auckland,Hamilton,Automotive,Summer,Medium,Simple,15.3,70.0,2285.0,3.41,1.75,1.4,0,0,0.0,125.95,0.0,125.95
Road,Port Otago,Wellington,Bulk,Spring,Medium,Complex,15.4,1579.9,2193.0,0.52,2.0,0.3,0,0,0.0,3317.84,0.0,3317.84
